scenario_id,train_1_id,train_1_type,train_1_weight,train_1_speed,train_2_id,train_2_type,train_2_weight,train_2_speed,location,delay_risk
1,Bhopal Shatabdi (12422),Express,550t,110 km/h,Rajdhani Express (11887),Express,600t,120 km/h,Kanpur Central,Low
2,Bhopal Shatabdi (12681),Express,550t,110 km/h,WAG-12 Heavy Freight (11504),Heavy Freight,6000t,75 km/h,Bhusawal Block,High
3,BOXN Coal Rake (11362),Freight,4500t,60 km/h,Vande Bharat Express (12140),High_Speed,430t,130 km/h,Vijayawada Line,Medium
4,Rajdhani Express (12829),Express,600t,120 km/h,WAG-12 Heavy Freight (12605),Heavy Freight,6000t,75 km/h,Kanpur Central,High
5,BOXN Coal Rake (12258),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12865),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
6,Rajdhani Express (12459),Express,600t,120 km/h,BOXN Coal Rake (11590),Freight,4500t,60 km/h,Itarsi Junction,High
7,EMU Local (12496),Commuter,300t,80 km/h,Bhopal Shatabdi (11677),Express,550t,110 km/h,Nagpur Crossing,Medium
8,Vande Bharat Express (12786),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12549),Heavy Freight,6000t,75 km/h,Itarsi Junction,Low
9,Vande Bharat Express (11009),High_Speed,430t,130 km/h,EMU Local (12703),Commuter,300t,80 km/h,Itarsi Junction,Medium
10,Bhopal Shatabdi (12901),Express,550t,110 km/h,BOXN Coal Rake (12461),Freight,4500t,60 km/h,Bhusawal Block,Low
11,BOXN Coal Rake (11358),Freight,4500t,60 km/h,Bhopal Shatabdi (11918),Express,550t,110 km/h,Vijayawada Line,High
12,Bhopal Shatabdi (12666),Express,550t,110 km/h,EMU Local (12142),Commuter,300t,80 km/h,Bhusawal Block,Low
13,Vande Bharat Express (11197),High_Speed,430t,130 km/h,Bhopal Shatabdi (12415),Express,550t,110 km/h,Kanpur Central,Low
14,WAG-12 Heavy Freight (12165),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11955),Express,550t,110 km/h,Vijayawada Line,Low
15,EMU Local (11837),Commuter,300t,80 km/h,BOXN Coal Rake (11859),Freight,4500t,60 km/h,Itarsi Junction,Low
16,Rajdhani Express (11156),Express,600t,120 km/h,WAG-12 Heavy Freight (11559),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
17,WAG-12 Heavy Freight (12017),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11262),Express,550t,110 km/h,Vijayawada Line,High
18,BOXN Coal Rake (11214),Freight,4500t,60 km/h,Rajdhani Express (12031),Express,600t,120 km/h,Itarsi Junction,Low
19,Rajdhani Express (11402),Express,600t,120 km/h,WAG-12 Heavy Freight (11384),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
20,BOXN Coal Rake (11036),Freight,4500t,60 km/h,EMU Local (11666),Commuter,300t,80 km/h,Kanpur Central,Medium
21,EMU Local (11578),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11561),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
